participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,34,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
1,,0,34,19,11,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,0,-1,,,
2,,0,16,4,8,-1,1,,,,-1,,,,,-1,-1,-1,,0,,,-1,0,0,,1,,,,0,,-1,1,1,,,,-1,,,
3,,0,34,12,22,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,-1,,,
4,,0,34,10,24,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,,,
5,,0,34,20,9,-1,0,-1,1,0,-1,1,-1,-1,0,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,1,1,-1,,,
7,,0,34,21,9,-1,-1,-1,1,1,0,1,-1,-1,1,-1,-1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,-1,,,
8,,0,36,23,13,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,
9,,0,34,23,10,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,0,1,-1,,,
11,,0,34,24,9,-1,1,-1,1,1,1,0,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,,,
12,,0,34,21,13,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,,,
14,,0,34,22,11,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,1,-1,1,-1,,,
17,,0,34,14,12,-1,1,1,-1,1,-1,1,-1,-1,0,1,0,1,1,0,-1,0,0,0,-1,0,-1,1,0,1,-1,-1,-1,1,1,1,1,1,-1,,,
18,,0,34,26,8,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,,,
19,,1,35,27,8,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,,1,
20,,0,34,20,14,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,,,
21,,0,34,26,8,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,,,
22,,0,24,14,6,-1,1,1,,1,,-1,0,-1,1,0,,1,,,1,1,1,1,,1,1,1,,,0,-1,-1,1,,,1,0,-1,,,
23,,0,36,24,10,0,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,
24,,0,37,26,11,-1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1
25,,1,37,19,15,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,0,0,-1,-1,0,1
26,,0,36,21,11,-1,1,-1,1,1,-1,1,-1,-1,0,-1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,0,
27,,0,25,13,9,-1,1,-1,,1,,,-1,0,-1,-1,-1,-1,,,1,1,1,0,0,1,1,1,,1,-1,,-1,1,1,,1,1,,,,
29,,0,36,22,14,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,
31,,0,36,21,8,-1,1,0,1,1,0,1,-1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,
33,,0,36,18,16,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,
35,,0,36,10,26,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,
36,,0,36,24,8,-1,1,0,1,1,0,1,0,0,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,
37,,0,37,25,12,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1
38,,0,33,22,7,-1,1,1,-1,-1,1,1,-1,-1,1,1,,1,1,0,1,,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,,1,-1,1,0,
39,,0,36,25,6,0,1,1,1,1,0,1,-1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,
40,,0,37,25,8,-1,1,-1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,1,0
41,,0,25,16,6,-1,-1,-1,0,-1,1,,,,1,1,1,0,,,0,,,1,1,,1,,1,1,-1,1,,1,1,,1,1,,-1,1,1
43,,0,28,17,9,-1,1,1,,0,1,,-1,-1,1,1,-1,-1,1,-1,,1,,1,1,-1,1,1,1,1,-1,-1,,1,1,1,1,,0,,,
44,,0,37,18,14,1,-1,0,0,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,0,0,1,0,-1,1,-1,-1,1,1,1
45,,0,37,19,18,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1
48,,0,12,11,1,-1,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,1,,,,1,1,,1,,,,1,
49,,0,20,11,8,-1,1,,1,-1,,,-1,,,,1,-1,,,,-1,,,,1,1,1,1,1,1,1,,,,-1,1,0,-1,-1,,
15,,1,27,15,4,,1,0,1,-1,0,1,,,,0,0,,0,1,1,,1,1,1,1,,1,1,1,0,-1,-1,0,1,1,0,-1,,1,,
30,,0,19,11,5,,1,,,1,,,0,,-1,,,0,,-1,-1,-1,,1,1,,,,1,1,1,,,,1,1,-1,1,,1,0,
6,,0,11,9,2,,,1,,-1,1,,,,,,1,,,,1,,,,,,,,,1,,,,1,1,,1,1,-1,,,
34,,0,6,3,1,,,0,,,,,-1,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0,
13,,0,5,5,0,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,
10,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0,3,3,0,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,
46,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
16,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
42,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
47,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
